2019 Salary,Age,Age squared,W-L%,ERA,IP,H9,HR9,BB9,SO9,SP,RP,AL,NL,Left Handed,Right Handed,Ln 2019 Salary
2500000,35,1225,0.5,7.34,34.1,11.8,2.6,3.1,8.4,0,1,0,1,0,1,14.73180129
1500000,30,900,0.444,4.48,80.1,10.1,1.1,1.5,5.3,1,0,1,0,1,0,14.22097567
6750000,30,900,0.529,3.93,158,7.5,1.7,3.2,7.3,1,0,0,1,0,1,15.72505306
2625000,28,784,0.438,4.55,176,8.4,1.5,3,8.4,1,0,0,1,1,0,14.78059145
920000,28,784,0.3,5.26,78.2,9.6,1.7,2.9,8.9,0,1,1,1,0,1,13.73212895
7758333,29,841,0.429,4.31,148.1,9.4,1.2,3,9.8,1,0,1,1,0,1,15.86427805
25000000,32,1024,0.476,3.96,172.2,8.6,1.1,3,7.2,1,0,0,1,0,1,17.03438638
1600000,28,784,0.667,3.77,45.1,8.7,0.6,3.6,10.1,0,1,1,1,1,0,14.28551419
2100000,30,900,0.571,2.88,56.1,7.3,0.6,3.7,9.9,0,1,0,1,0,1,14.5574479
1600000,28,784,0.6,3.65,61.2,6.9,0.7,4.5,14,0,1,1,0,0,1,14.28551419
13000000,27,729,0.667,2.21,175.1,6.9,0.5,2.9,11.3,1,0,1,0,0,1,16.38045992
1750000,26,676,0.556,3.8,64,8.9,1,3.7,8,0,1,1,0,0,1,14.37512635
7250000,30,900,0.4,2.7,66.2,5.9,0.9,3.5,15.5,0,1,1,0,0,1,15.79651203
3325000,29,841,0.714,5.01,120.1,9,1.3,3.5,6,1,0,0,1,0,1,15.01698023
900000,28,784,0.364,6,72,12,1.8,3,6.6,0,1,1,0,0,1,13.71015004
3000000,32,1024,0.333,3.59,62.2,10.3,0.7,4,8.6,0,1,1,1,0,1,14.91412285
1830000,25,625,0.444,3.64,71.2,7.8,1.1,2.5,9.4,0,1,0,1,0,1,14.41982652
13000000,30,900,1,3.1,40.2,6.4,0.7,4.6,7.5,0,1,1,0,1,0,16.38045992
1400000,31,961,1,2.75,39.1,7.3,0.9,3.4,9.4,0,1,1,0,1,0,14.15198279
12000000,28,784,0.462,3.26,129.2,8.2,1,3,7.6,1,0,0,1,1,0,16.30041721
2800000,25,625,0.333,5.45,171.2,9.9,2.1,2.8,9.6,1,0,1,0,0,1,14.84512998
10500000,31,961,0.63,3.38,192,8.1,1,2,10.8,1,0,1,0,0,1,16.16688582
9500000,31,961,0.211,5.29,153,10.4,1.5,3.8,5.8,1,0,1,0,0,1,16.06680236
7750000,31,961,0.5,6.89,32.2,10.7,1.4,6.9,5.2,0,1,0,1,1,0,15.8632034
900000,31,961,1,2.43,33.1,7,0.3,4.3,9.2,0,1,1,1,1,0,13.71015004
6750000,30,900,0.652,3.5,192.2,7.1,0.8,3.3,7.3,1,0,0,1,0,1,15.72505306
1945000,28,784,0.143,3.1,49.1,7.5,0,4.6,9.7,0,1,0,1,1,0,14.48077254
17200000,30,900,1,2.45,51.1,4.2,0.4,5.3,16.3,0,1,1,0,1,0,16.66041994
12500000,28,784,0.4,5.3,103.2,8,0.8,8.2,7.4,0,1,0,1,0,1,16.3412392
4000000,34,1156,0.714,2.55,95.1,7.9,1.2,1.6,8.7,0,1,1,1,0,1,15.20180492
19773520,32,1024,0.333,4.79,133.1,8.8,1.3,3.2,7.5,0,1,0,1,1,0,16.79985423
2650000,28,784,0.333,4.76,22.2,7.5,0.8,2.4,14.3,0,1,0,1,1,0,14.7900702
7500000,32,1024,0.571,2.18,70.1,5.8,0.6,3.6,10,0,1,0,1,0,1,15.83041358
14000000,30,900,0.25,4.9,152.1,10.2,1.4,2.5,6,1,0,1,0,0,1,16.45456789
13500000,27,729,0.75,2.88,200.1,6.4,0.9,2.9,12.4,1,0,1,0,0,1,16.41820024
7325000,29,841,0.583,3.04,68,7.8,0.9,2.8,9.5,0,1,1,0,0,1,15.80680371
1125000,28,784,0.429,4.09,50.2,6.6,0.9,3.2,8.9,0,1,0,1,1,0,13.93329359
22666666,32,1024,0.6,3.23,53,7.8,1.4,2.2,6.5,1,0,0,1,0,1,16.93640595
20000000,31,961,0.25,4.95,40,8.1,1.6,4.7,11,1,0,0,1,0,1,16.81124283
2600000,25,625,0.222,4.77,66,9.1,1.1,2.9,6.7,1,0,0,1,0,1,14.771022
18333333,32,1024,0.333,4.13,65.1,5.9,1.1,3.6,10.7,0,1,0,1,0,1,16.72423144
9000000,30,900,0.526,1.7,217,6.3,0.4,1.9,11.2,1,0,0,1,0,1,16.01273514
2125000,28,784,0.467,4.93,115,9.2,1.9,2.3,8.5,1,0,0,1,0,1,14.56928236
1525000,27,729,0.4,4.18,47.1,8,1.7,2.5,9.7,0,1,1,0,0,1,14.23750497
2750000,31,961,0.333,4.73,53.1,8.3,0.7,5.2,11.1,0,1,1,1,1,0,14.82711147
6500000,31,961,0.5,1.6,45,4.2,0.6,1.2,12,0,1,0,1,1,0,15.68731273
15250000,29,841,0.4,4.88,155,9.3,1.3,4.1,8.2,1,0,1,0,1,0,16.54009006
2000000,35,1225,0.5,4.15,52,9.9,0.2,3.6,8.8,0,1,1,0,1,0,14.50865774
7333333,33,1089,,9,17,11.6,0.5,9.5,6.4,0,1,0,1,1,0,15.80794068
5000000,30,900,0.571,2.69,70.1,7.2,0.6,2.6,7.2,0,1,0,1,0,1,15.42494847
1500000,26,676,0.6,2.6,52,6.2,0.3,5.5,11.6,0,1,0,1,0,1,14.22097567
910000,29,841,0.75,2.65,51,8.1,0.2,2.8,6,0,1,1,0,1,0,13.72119988
17000000,28,784,0.462,3.81,111,8.5,1.1,1.6,8.2,1,0,1,0,0,1,16.6487239
1450000,27,729,0.364,4.21,109,9.2,1,1,7.3,1,0,0,1,1,0,14.18707411
6666666,28,784,0.571,3.13,72,7.5,0.4,3.5,10.4,0,1,1,1,0,1,15.71263044
6000000,33,1089,0.6,3.56,172,8.7,1.7,1.9,7.3,1,0,1,0,0,1,15.60727003
800000,28,784,0.375,4.04,75.2,10.3,0.6,4.2,5.6,0,1,1,0,1,0,13.59236701
5475000,26,676,0.565,2.85,183,6.4,0.8,3.3,9.9,1,0,0,1,0,1,15.51570283
2800000,25,625,0.2,4.69,132.1,8.7,1.3,3.1,7.5,1,0,1,0,0,1,14.84512998
9350000,27,729,0.476,3.92,183.2,9.3,1.3,2.5,7.3,1,0,1,1,0,1,16.0508869
1500000,32,1024,0.667,3.77,57.1,8.8,1.1,3.3,8.3,0,1,1,1,0,1,14.22097567
1500000,32,1024,1,3.29,27.1,7.6,0.7,2.6,7.2,0,1,1,0,0,1,14.22097567
8125000,30,900,0.435,3.62,196.2,8.1,1.1,3.6,8.2,1,0,1,0,0,1,15.91045629
6300000,27,729,0,4.65,50.1,9.7,1.1,1.3,9.5,0,1,1,0,0,1,15.65606019
2150000,28,784,0,3.99,76.2,7.2,0.5,3.5,9.3,0,1,1,0,0,1,14.5809784
900000,26,676,0.591,4,166.2,9.3,0.9,1.7,7.8,1,0,1,0,1,0,13.71015004
2925000,26,676,0.571,5.12,172.1,9.4,1.4,2.7,9.6,1,0,0,1,0,1,14.88880504
4000000,29,841,0.4,5.12,63.1,9.7,1.7,2.7,9.2,0,1,1,0,0,1,15.20180492
5500000,34,1156,,7.11,12.2,9.9,1.4,4.3,8.5,0,1,0,1,0,1,15.52025865
32421884,34,1156,0.577,3.21,207.2,7.8,1.2,1.9,8.6,1,0,0,1,0,1,17.29434418
2225000,33,1089,0.4,4.09,141,9.1,1.2,3.5,8.7,1,0,0,1,0,1,14.61526747
20000000,34,1156,0.429,3.78,190.2,8.3,1.4,3.1,8.9,1,0,1,1,1,0,16.81124283
7416666,28,784,0.286,2.75,72,6.5,1,3.5,13.3,0,1,1,1,1,0,15.81924019
17000000,35,1225,0.739,3.65,177.2,7.6,1.4,2.6,9.8,1,0,1,0,1,0,16.6487239
1300000,31,961,0.444,3.56,86,8.3,1,2.3,6.9,0,1,1,0,1,0,14.07787482
4225000,33,1089,0.625,3.49,56.2,7.6,0.5,2.2,10.2,0,1,1,0,0,1,15.25652982
11000000,29,841,0.438,4.94,155,9.6,1.6,2.1,7.6,1,0,0,1,0,1,16.21340583
3400000,27,729,0.474,4.15,180,8.6,1.4,2.3,9,1,0,1,0,1,0,15.03928599
1300000,31,961,0.625,3.45,91.1,7.7,1.1,2,6.4,0,1,0,1,0,1,14.07787482
1312500,29,841,0.8,4.2,60,8,1.5,4.1,11.4,0,1,1,0,0,1,14.08744427
7405000,28,784,0.56,3.44,199,8.3,1,2,7.3,1,0,0,1,0,1,15.81766601
2150000,29,841,0,4.13,24,9.4,1.1,3.8,8.3,0,1,1,0,0,1,14.5809784
2500000,33,1089,0.714,2.53,64,6.5,0.8,2.4,9.1,0,1,0,1,0,1,14.73180129
27857143,32,1024,0.364,5.55,155.2,9.2,1.6,3.4,7.2,1,0,1,0,0,1,17.14259997
9000000,28,784,0.4,2.44,44.1,8.7,1.2,2,7.7,0,1,1,1,0,1,16.01273514
18666667,38,1444,0.688,3.66,132.2,7.3,1.4,2.8,10.2,1,0,0,1,1,0,16.74224998
3250000,34,1156,0.571,2.44,66.1,6.6,0.8,3.1,8,0,1,0,1,0,1,14.99416555
7000000,31,961,0.438,3.57,171.1,8.1,1,3.5,8.9,1,0,0,1,1,0,15.76142071
3250000,32,1024,0.5,4.66,46.1,8.4,0.4,6.2,9.1,0,1,0,1,0,1,14.99416555
2250000,32,1024,0.571,1.94,78.2,6.5,0.5,2.6,6.8,0,1,0,1,0,1,14.62644077
9000000,31,961,0.556,3.8,64,9.1,0.8,2.1,7.2,0,1,0,1,0,1,16.01273514
